property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,whiteland blissville,sector 76,1.92 Crore,11500.0,Built Up area: 1672 (155.33 sq.m.)Carpet area: 940 sq.ft. (87.33 sq.m.),3.0,3.0,2.0,2.0,,Undefined,,,,,0,0,0,0,0,0,0
house,independent,sector 2,1.0,8230.0,Plot area 135(112.88 sq.m.),9 Bedrooms,7.0,3+,3.0,North,Moderately Old,1215.0,,1215.0,,0,0,0,1,0,0,0
house,dlf city plots,sector 26,13.5,29880.0,Plot area 502(419.74 sq.m.),5 Bedrooms,5.0,3,2.0,East,Old Property,4518.0,,4518.0,,1,1,1,1,0,1,110
house,independent,sector 23,5.65,17706.0,Plot area 342(285.96 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),7 Bedrooms,7.0,3+,2.0,West,Moderately Old,3191.0,,3078.0,,0,1,0,1,0,0,68
flat,ashiana anmol3.5 ?,sohna road,90 Lac,9463.0,Super Built up area 1275(118.45 sq.m.)Carpet area: 951 sq.ft. (88.35 sq.m.),2.0,2.0,2.0,13.0,South,Relatively New,,,,,0,0,0,0,0,2,120
flat,sare homes,sector 92,80 Lac,5252.0,Carpet area: 1523 (141.49 sq.m.),3.0,3.0,3.0,7.0,North-West,Relatively New,,,,,1,0,0,0,0,1,80
flat,dlf regal gardens3.9 ?,sector 90,1.13 Crore,6647.0,Super Built up area 1730(160.72 sq.m.),3.0,3.0,,8.0,North,Relatively New,,,,,0,0,0,0,1,0,72
flat,mapsko mount ville4.1 ?,sector 79,1.55 Crore,8539.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3.0,4.0,3.0,11.0,South-West,Relatively New,,,,,0,1,0,0,0,1,152
flat,shree vardhman victoria3.8 ?,sector 70,1.07 Crore,7925.0,Super Built up area 1350(125.42 sq.m.),2.0,2.0,3.0,8.0,North,Relatively New,,,,,1,0,0,0,0,0,108
flat,shree vardhman flora3.8 ?,sector 90,90 Lac,4615.0,Super Built up area 1950(181.16 sq.m.),3.0,4.0,3.0,4.0,South-West,Relatively New,,,,,0,1,0,0,0,0,165
house,independent,sector 45,17.0,37777.0,Plot area 4500(418.06 sq.m.),5 Bedrooms,8.0,3+,3.0,North-East,Relatively New,4500.0,,4500.0,,1,1,1,1,0,2,152
flat,pareena mi casa,sector 68,1.85 Crore,9310.0,Super Built up area 1987(184.6 sq.m.),3.0,3.0,,13.0,,Under Construction,,,,,0,0,0,0,0,0,0
flat,siddhartha apartment,sector 95,72 Lac,3664.0,Super Built up area 1965(182.55 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3.0,2.0,4.0,East,Relatively New,,,,,0,0,0,0,1,0,21
